yyyy-mm-dd hh:mm:ss,W/m²
2020-06-09 05:45:00,87
2020-06-09 06:00:00,120.4
2020-06-09 06:15:00,133.93333333333334
2020-06-09 06:30:00,175.93333333333334
2020-06-09 06:45:00,225.93333333333334
2020-06-09 07:00:00,257.06666666666666
2020-06-09 07:15:00,258.73333333333335
2020-06-09 07:30:00,205.66666666666666
2020-06-09 07:45:00,216.86666666666667
2020-06-09 08:00:00,283.46666666666664
2020-06-09 08:15:00,412.93333333333334
2020-06-09 08:30:00,516.9333333333333
2020-06-09 08:45:00,566.4
2020-06-09 09:00:00,441.2
2020-06-09 09:15:00,300.1333333333333
2020-06-09 09:30:00,365.3333333333333
2020-06-09 09:45:00,433.93333333333334
2020-06-09 10:00:00,473.3333333333333
2020-06-09 10:15:00,588.6666666666666
2020-06-09 10:30:00,871.7333333333333
2020-06-09 10:45:00,850.4
2020-06-09 11:00:00,803.2666666666667
2020-06-09 11:15:00,920.8666666666667
2020-06-09 11:30:00,925.5333333333333
2020-06-09 11:45:00,889.1333333333333
2020-06-09 12:00:00,989
2020-06-09 12:15:00,1099.6
2020-06-09 12:30:00,1100.4666666666667
2020-06-09 12:45:00,1079.9333333333334
2020-06-09 13:00:00,543
2020-06-09 13:15:00,788.2666666666667
2020-06-09 13:30:00,173.53333333333333
2020-06-09 13:45:00,156.33333333333334
2020-06-09 14:00:00,153.8
2020-06-09 14:15:00,181.4
2020-06-09 14:30:00,264
2020-06-09 14:45:00,311.3333333333333
2020-06-09 15:00:00,350.6666666666667
2020-06-09 15:15:00,265.6666666666667
2020-06-09 15:30:00,283.73333333333335
2020-06-09 15:45:00,367.8
2020-06-09 16:00:00,234.53333333333333
2020-06-09 16:15:00,92.4
2020-06-09 16:30:00,68.93333333333334
2020-06-09 16:45:00,81.06666666666666
2020-06-09 17:00:00,111.73333333333333
2020-06-09 17:15:00,118.66666666666667
2020-06-09 17:30:00,108.93333333333334
2020-06-09 17:45:00,91.8
2020-06-09 18:00:00,98.6
2020-06-09 18:15:00,94.66666666666667
2020-06-09 18:30:00,105.2
2020-06-09 18:45:00,95.53333333333333
2020-06-09 19:00:00,87.33333333333333
2020-06-09 19:15:00,79
2020-06-09 19:30:00,53.93333333333333
2020-06-09 19:45:00,35
2020-06-09 20:00:00,26.866666666666667
2020-06-09 20:15:00,17.8
2020-06-09 20:30:00,15.733333333333333
2020-06-09 20:45:00,11.066666666666666
2020-06-09 21:00:00,7.466666666666667
2020-06-09 21:15:00,3.933333333333333
2020-06-09 21:30:00,1.4666666666666668
2020-06-09 21:45:00,0
2020-06-09 22:00:00,0
2020-06-09 22:15:00,0
2020-06-09 22:30:00,0
2020-06-09 22:45:00,0
2020-06-09 23:00:00,0
2020-06-09 23:15:00,0
2020-06-09 23:30:00,0
2020-06-09 23:45:00,0
2020-06-10 00:00:00,0
2020-06-10 00:15:00,0
2020-06-10 00:30:00,0
2020-06-10 00:45:00,0
2020-06-10 01:00:00,0
2020-06-10 01:15:00,0
2020-06-10 01:30:00,0
2020-06-10 01:45:00,0
2020-06-10 02:00:00,0
2020-06-10 02:15:00,0
2020-06-10 02:30:00,0
2020-06-10 02:45:00,0
2020-06-10 03:00:00,0
2020-06-10 03:15:00,0
2020-06-10 03:30:00,0
2020-06-10 03:45:00,0
2020-06-10 04:00:00,0
2020-06-10 04:15:00,0
2020-06-10 04:30:00,2.8
2020-06-10 04:45:00,6.533333333333333
2020-06-10 05:00:00,17.333333333333332
2020-06-10 05:15:00,31
2020-06-10 05:30:00,54.13333333333333
2020-06-10 05:45:00,66.8
2020-06-10 06:00:00,66.93333333333334
2020-06-10 06:15:00,70.46666666666667
2020-06-10 06:30:00,95.26666666666667
2020-06-10 06:45:00,144.53333333333333
2020-06-10 07:00:00,247.13333333333333
2020-06-10 07:15:00,240.66666666666666
2020-06-10 07:30:00,277.73333333333335
2020-06-10 07:45:00,163.73333333333332
2020-06-10 08:00:00,207.4
2020-06-10 08:15:00,302.8
2020-06-10 08:30:00,254.66666666666666
2020-06-10 08:45:00,289.1333333333333
2020-06-10 09:00:00,373.8666666666667
2020-06-10 09:15:00,210.8
2020-06-10 09:30:00,115.66666666666667
2020-06-10 09:45:00,98.73333333333333
2020-06-10 10:00:00,83.46666666666667
2020-06-10 10:15:00,124.73333333333333
2020-06-10 10:30:00,157.86666666666667
2020-06-10 10:45:00,237.26666666666668
2020-06-10 11:00:00,383
2020-06-10 11:15:00,636.4666666666667
2020-06-10 11:30:00,549.3333333333334
2020-06-10 11:45:00,644.7333333333333
2020-06-10 12:00:00,580.9333333333333
2020-06-10 12:15:00,608.4666666666667
2020-06-10 12:30:00,631
2020-06-10 12:45:00,803.6666666666666
2020-06-10 13:00:00,963.4
2020-06-10 13:15:00,941.6666666666666
2020-06-10 13:30:00,919.4666666666667
2020-06-10 13:45:00,900.2
2020-06-10 14:00:00,878.4
2020-06-10 14:15:00,755.7333333333333
2020-06-10 14:30:00,774.2
2020-06-10 14:45:00,728.5333333333333
2020-06-10 15:00:00,550.1333333333333
2020-06-10 15:15:00,462.73333333333335
2020-06-10 15:30:00,478.8666666666667
2020-06-10 15:45:00,683.1333333333333
2020-06-10 16:00:00,179
2020-06-10 16:15:00,454.93333333333334
2020-06-10 16:30:00,719.8666666666667
2020-06-10 16:45:00,711
2020-06-10 17:00:00,394.06666666666666
2020-06-10 17:15:00,254.06666666666666
2020-06-10 17:30:00,357.3333333333333
2020-06-10 17:45:00,458.53333333333336
2020-06-10 18:00:00,470.53333333333336
2020-06-10 18:15:00,326.8666666666667
2020-06-10 18:30:00,216.2
2020-06-10 18:45:00,192.93333333333334
2020-06-10 19:00:00,153.8
2020-06-10 19:15:00,105.8
2020-06-10 19:30:00,69.73333333333333
2020-06-10 19:45:00,62.666666666666664
2020-06-10 20:00:00,60.86666666666667
2020-06-10 20:15:00,55.06666666666667
2020-06-10 20:30:00,44.4
2020-06-10 20:45:00,25.6
2020-06-10 21:00:00,12.466666666666667
2020-06-10 21:15:00,4.8
2020-06-10 21:30:00,1.6
2020-06-10 21:45:00,0
2020-06-10 22:00:00,0
2020-06-10 22:15:00,0
2020-06-10 22:30:00,0
2020-06-10 22:45:00,0
